N/A,Categories,Required Certificates of Professional Qualifications issued by the Certification Body of Professional Qualifications for the level of skilled craftsman.
1.,Category A: Installers of technical equipment for heating systems,"1. Building Industry, Professional Qualification ""Central Heating Systems"" (Level 4) 2. Building Industry, Professional Qualification ""Plumbing"" (Level 4)"
2.,Category B: Installers of technical equipment for air conditioning and ventilation systems.,"1. Building Industry, Professional Qualification ""Plumbing"". (Level 4) 2. Building Industry, Professional Qualification ""Cooling and Air Conditioning Systems"" (Level 4)"
3.,Category C: Installers of technical equipment for hot water production systems.,"1. Building Industry, Professional Qualification ""Plumbing"" (Level 4)"
