,Fuel,Hotels,Private offices,Retail outlets (shops),Hospitals and clinics,Supermarkets and department stores,Restaurants
Central system with heat pump,Electricity,62%,54%,75%,68%,88%,42%
Central system with geoalternator,Electricity,0%,1%,0%,1%,2%,0%
Self-contained air conditioning units,Electricity,24%,22%,8%,9%,0%,28%
High efficiency self- contained air conditioning units,Electricity,4%,3%,1%,2%,0%,5%
Not at all or other means of air,N/A,10%,20%,16%,20%,10%,25%
