Building type,Number of buildings,Primary Energy before renovation [4^-] Lm 2,Primary energy after renovation,Total area 2,Estimated energy savings [GWft]
Offices,93,332,1 277,[m ] 210.042,"32,55"
Education buildings,17,year] 96,Lmyear] 50,52.200,"2,4"
Other,41,332,177,57.369,"8,89"
Total,151,,,318.831,"43,85"
Annual energy savings to be achieved to equate to an annual renovation of 3% of the total area,,,,,"1,31"
