Authority,Mandate and Responsibilities
"Ministry of Development, Public Works and Administration (MDLPA)","Lead regulator; adopts secondary legislation and MEPS thresholds; defines compliance rules, exemptions and safeguards per Art. 17(19); oversees national EPC registry and QA."
"MDLPA, MIPE, Ministry of Energy / Environment Fund Administration (AFM)",Designs and disburses enabling finance aligned to MEPS milestones (worst-performers priority); ensures complementarity with RES/H&C funds.
ANRE,"Sets metering/billing rules, grid-connection simplifications, and BACS/SRI alignment where relevant; supports data access for monitoring."
County councils and Municipalities,Local enforcement and owner engagement; maintain local registries for targeted outreach; integrate MEPS with local H&C planning (EED Art. 25).
National EPC Registry & QA Body,"Recognizes compliance evidence (EPC or equivalent), manages audits and sanctions for false declarations; ensures quality assurance and sampling."
One-Stop-Shops (OSS),"Frontline assistance to owners/HOAs: diagnostics, package selection, permits, finance applications, contractor matchmaking; special lanes for vulnerable groups."
