Worst Performing Buildings,Number of buildings Year X-2,Number of buildings 2020,Floor Area (m2) Year X-2,Floor Area (m2) 2020
Residential,2068348,2068348,282519432,282519432
Non-Residential,63038,63038,16122600,16122600
Total,2131386,2131386,298642032,298642032
