Instrument,Scope,Key Implementing Documents / Authorities
EPBD 2024/1275 — SRI & technical building systems (TBS),BACS & SRI options; obligations for large non-residential heating/cooling power; building automation & control by thresholds. Provides an additional path to compliance for MEPS and improved monitoring.,EU Delegated 2020/2155 and Implementing 2020/2156 on SRI; national adoption pathway (planned).
EV-ready measures (Article 14 EPBD) — national transposition (planned),Ducting/pre-cabling and charging points at new/renovated buildings; streamlining in co-ownerships; fire-safety & accessibility requirements. Integration with building permits and technical regulations.,Several provisions were already introduced in the legislation.
