Year,Residential buildings (MtCO2eq/year),Non-residential buildings (MtCO2eq/year),Total buildings (MtCO2eq/year),Approximate share residential (%),Approximate share non-residential (%)
2020 (baseline implied),6.9,2.25,9.15,75,25
2030,4.48,1.44,5.92,75.7,24.3
2040,3.08,1.11,4.19,73.5,26.5
2050,1.86,0.81,2.67,69.7,30.3
