Indicator,Unit,2030,2040,2050
Solar thermal capacity in buildings,MW,100,1200,1400
Solar PV capacity in buildings,MW,3400,10450,12200
Total solar capacity in buildings,MW,3500,11650,13600
Solar thermal generation in buildings,GWh,50,600,700
Solar PV generation in buildings,GWh,4630,14540,16990
Total solar generation in buildings,GWh,4680,15140,17690
