Breakdown,Category,2026-2030,2031-2033,2034-2035,2036-2040,2041-2045,2046-2050
Investment needs,Residential (renovation),"24,720","3,045","2,030","19,450","19,450","19,450"
Investment needs,Non-residential (renovation),"1,096",676,439,987,"1,745","1,703"
Investment needs,Total Investment Needs - Deep Renovation,"25,816","3,722","2,469","20,437","21,195","20,523"
