Element,Design
Coverage,"The subset covered (i.e., EPC class G and F); include both owner-occupied and rented units — without disproportionate exemptions for rentals (Art. 9(2) fifth sub-paragraph)."
Share achieved via MEPS,"Quantify the portion of the national trajectory met through MEPS vs. other instruments (grants, building code triggers)."
Thresholds & deadlines,"Staged thresholds: G→F by 2028; G/F→E by 2030, aligned with funding and contractor capacity."
Owner identification,Use EPC registry + tax/cadastre; HOA registries for MABs; targeted outreach to landlords and property managers.
