Indicator,Value
Percent of the population experienced some form of energy poverty (2021),25.0%
Percent of households facing difficulties in paying utility bills (2022),17.8%
Percent of households struggling to keep their homes warm during winter,15.2%
Percent of households struggling to keep their homes cool during summer,31.0%
Percent of household expenditures for energy,8.7%
Percent of population living in inadequate dwelling conditions,~20%
