Breakdown,Category,2026-2030,2031-2033,2034-2035,2036-2040,2041-2045,2046-2050
Investment needs,Residential (renovation),"26,251","8,193","5,462","21,766","21,766","21,766"
Investment needs,Out of which for 43% worst performing buildings,"24,461","7,978","5,318","17,788","17,788","17,788"
Investment needs,Non-residential (renovation),"2,321","1,426",659,"1,482","2,102","1,323"
Investment needs,Out of which for worst performing buildings,"1,941","1,216",184,413,576,353
Investment needs,Total Investment Needs for Building Renovation,"28,572","9,619","6,121","23,248","23,868","23,089"
