Indicator (43% WPB segment),2020 baseline,2030 milestone (approx 2026-2030 avg.),2035 milestone (approx 2031-2035 avg.),2040 milestone (approx 2036-2040 avg.),2045 milestone (approx 2041-2045 avg.),2050 milestone (approx 2046-2050 avg.)
Number of 43% WPBs renovated annually (average),n.a.,"132,241","125,554","109,809","94,064","94,064"
"Floor area of 43% WPBs renovated annually (m², average)",n.a.,"14,583,397","16,493,741","12,484,662","8,475,583","8,475,583"
"Estimated average renovation depth in 43% WPBs (% energy savings, optional)",n.a.,91.0%,97.0%,85.8%,77.8%,77.8%
"Sub-target: primary energy savings in the 43% WPBs (GWh/year, contribution to total reduction vs 2020)",n.a.,"9,769.4","13,474.1","18,616.8","23,759.4","28,902.0"
