Indicator,2020 baseline,2030 milestone,2035 milestone,2040 milestone,2045 milestone,2050 milestone
Average primary energy use in kWh/(m².y) (A),211,177,164,146,128,111
Variation in % compared to 2020 (B),n.a,-16%,-22%,-31%,-39%,-48%
Number of buildings to be renovated annually,n.a,"150,034","125,554","272,748","94,064","177,869"
Floor area to be renovated annually m2,n.a,"18,063,063","17,149,654","14,998,998","12,848,342","12,848,342"
Number of the 43% WP buildings to be renovated annually,n.a,"132,241","125,554","109,809","94,064","94,064"
Floor area of the 43% WP buildings to be renovated annually,n.a,"14,583,397","16,493,741","12,484,662","8,475,583","8,475,583"
Sub-target: at least 55% of decrease in 43% worst-performing buildings in GWh/year,n.a,"-9,769 (8.8%) (at least 8.8%)","-13,474 (12.2%) (at least 12.1%)","-18,617 (16.8%)","-23,759 (21.5%)","-28,902 (26.2%)"
