Instrument,Scope,Key Implementing Documents / Authorities
OUG 18/2009 + Order 163/2009 norms,Municipal programs for renovating multi-apartment buildings; roles of municipalities/HOAs; procedural steps and documentation. Operates as a main delivery chain for worst performance residential blocks under the MEPS roadmap (Section 3.3).,Norms (Order 163/2009); municipal program guides; periodic updates (2010–2023).
OUG 69/2010 + HG 736/2010 norms (repealed by OUG 52 of 2025),"Government-guaranteed loans for thermal rehabilitation; complements grant schemes under PNRR/AFM. Closes affordability gaps, especially for HOAs.",Norms via HG 736/2010; annual guarantee ceilings through MoF.
PNRR — Component C5 'Renovation Wave',Deep/moderate renovation of public and residential stock; includes registries/logbooks and BRP pilots; links with seismic strengthening where needed. Supports early MEPS cohorts and ZEB ready solutions. I1.1 Integrated renovation of apartment buildings; I1.2 Energy renovation of apartment buildings in disadvantaged areas; I1.3 Energy renovation of residential buildings; I.1.4 Integrated renovation of public buildings; I.1.5 Energy renovation of public buildings; I2. Creation of the National Register of Buildings; I4. Circular economy and increasing the energy efficiency of historic buildings.,"MDLPA C5 guidance, calls & clarifications; MIS monitoring; cross-references to NECP and MEPS readiness."
PNRR - other components,"Through different sectorial components, deep/moderate renovations of public buildings is made.",
