Category,"EPC Class Bands (primary energy, kWh/m².y)",T16 (kWh/m².y),T26 (kWh/m².y)
Offices,A+: ≤68 … G: >614,422,340
Education,A+: ≤48 … G: >536,422,340
Health,A+: ≤117 … G: >1005,422,340
Retail,A+: ≤88 … G: >591,422,340
Tourism,A+: ≤67 … G: >678,422,340
Sports,A+: ≤75 … G: >741,422,340
