Building category,A+,A,B,C,D,E,F,G
Individual dwelling buildings,≤91,91-129,129-257,257-390,390-522,522-652,652-783,>783
Multi-dwelling buildings,≤73,73-101,101-198,198-297,297-396,396-465,495-595,>595
Office buildings,≤68,68-97,97-193,193-302,302-410,410-511,511-614,>614
Educational buildings,≤48,48-68,68-135,135-246,246-358,358-447,447-536,>536
Sanitary buildings,≤117,117-165,165-331,331-501,501-671,671-838,838-1005,>1005
Commercial services buildings,≤88,88-124,124-248,248-320,320-393,393-492,492-591,>591
Tourism buildings,≤67,67-93,93-188,188-321,321-452,452-565,565-678,>678
Sports buildings,≤75,75-104,104-206,206-350,350-494,494-617,617-741,>741
