Breakdown,Funding Area,2026-2030,2031-2033,2034-2035,2036-2040,2041-2045,2046-2050
Funding Needs,OSS Network,140,75,50,75,75,75
Funding Needs,Funding for Energy Poor and Vulnerable,750,450,300,750,750,750
Funding Needs,TA and Capacity Building,40,24,16,0,0,0
Funding Needs,Administrative Resources,857,289,184,697,716,693
Funding Needs,Awareness and Communication,20,10,10,0,0,0
,Total Other Funding Needed,"1,807",848,560,"1,522","1,541","1,518"
