New or renovated,Cumulative number of NZEB in Year X-2,Cumulative floor area of NZEB in Year X-2 (m2),Cumulative number of ZEB in Year X-2 (applicable from 2030 onwards),Cumulative floor area of ZEB in Year X-2 (m2) (applicable from 2030 onwards)
New,8998,2790615,N/A,N/A
Renovated,N/A,N/A,N/A,N/A
Total,8998,2790615,N/A,N/A
