Building Group,Baseline 2020 (million m2),2020-2030 Area (million m2/yr),2020-2030 Rate (%/yr),2031-2040 Area (million m2/yr),2031-2040 Rate (%/yr),2041-2050 Area (million m2/yr),2041-2050 Rate (%/yr)
Total buildings,719.03,20.49,2.85,37.26,5.18,24.30,3.38
Residential - total,657.02,18.06,2.75,15.00,2.28,12.85,1.96
Residential - 43% WPB,282.52,14.58,2.22,12.48,1.90,8.48,1.29
Non-residential - total,62.01,2.33,3.76,1.55,2.50,1.04,1.68
Non-residential - WPB,62.01,1.95,3.15,0.84,1.36,0.28,0.46
