EPC Class,Residential share m2 per class of reported building level EPCs (%),Non-residential share m2 per class of reported building level EPCs (%)
A+,0.43,0.72
A,6.21,10.08
B,37.62,29.14
C,27.91,24.20
D,8.97,14.33
E,7.96,9.17
F,3.10,3.88
G,7.81,8.48
