Building Type,RDA NE,RDA SE,RDA SM,RDA SV,RDA V,RDA NV,RDA Centre,RDA BI
Residential,"39,382,361","48,550,000","124,344,000","141,723,023","45,603,225","44,316,195","70,617,000","28,822,000"
Non residential,"227,003,782","122,400,000","130,000,000","32,717,473","53,424,585","57,750,000","31,000,000","68,578,000"
Totals,"266,386,143","170,950,000","254,000,000","174,440,496","99,027,810","102,066,196","101,617,000","97,400,000"
