EPC Class,EPCs floor area (M m2),Average primary energy of EPCs (kWh/m2),Used floor area of EPCs as basis for distribution in entire stock (%),Building stock floor area distributed by classes (M m2)
A+,0.07,72,0.43%,2.83
A,1.01,80,6.21%,40.82
B,6.13,131,37.62%,247.15
C,4.55,177,27.91%,183.35
D,1.46,253,8.97%,58.92
E,1.30,374,7.96%,52.28
F,0.51,390,3.10%,20.37
G,1.27,631,7.81%,51.30
Total,16.31,218,100%,657.02
