Year,Total building stock (kgCO2eq/m2/year),Residential buildings (kgCO2eq/m2/year),Non-residential buildings (kgCO2eq/m2/year)
2020 (baseline implied),11.3,9.22,36.3
2030,8.23,6.82,23.22
2040,5.83,4.69,17.90
2050,3.71,2.83,13.06
