Milestone,Action
2026–2028,"Adopt secondary legislation defining non-residential thresholds, coverage, deadlines, and exemptions/safeguards; establish governance and QA rules. Develop and Launch MEPS portal, OSS scale-up, and first funding window targeted at worst-performers; begin pre-notifications. Phase-in non-residential MEPS Deadline 1; monitor compliance and adjust enabling finance."
2028–2030,Phase-in Deadline 2 for non-residential; adopt residential trajectory design and residential MEPS thresholds.
2030+,"Tighten thresholds in line with national trajectory, Article 10 solar roll-out, and district heating decarbonization under EED Art. 26."
