Category,2019,2020,2021,2022,2023
Demolished dwellings - TOTAL,5800,4544,5304,4780,4421
Demolished dwellings - URBAN,2423,1815,2029,1817,1669
Demolished dwellings - RURAL,3377,2729,3275,2963,2752
Living area of demolished dwellings (m2) - TOTAL,303889,235898,267962,232058,211469
Living area of demolished dwellings (m2) - URBAN,147092,96504,113152,93088,78295
Living area of demolished dwellings (m2) - RURAL,156797,139394,154810,138970,133174
