End use,Primary energy consumption in Year X-2 (ktoe),Final energy consumption in Year X-2 (ktoe)
Space heating,7283,5811
Space cooling,40,32
Domestic hot water,1648,1315
Ventilation,0,0
Built-in lighting,1678,1339
Other technical building systems,911,795
Total,11560,9291
