Instrument,Scope,Key Implementing Documents / Authorities
OUG 92/2024 — National network of One-stop shops (OSS),County/municipal OSS counters and a national portal; prioritizes vulnerable consumers; streamlines access to finance and permits.,Implementation via MDLPA guidance and local decisions; links to PNRR.
Law 121/2014 — Energy Efficiency (consolidated),"Horizontal EE framework (targets, programs, public-sector leadership, audits and planning). Provides coherence with EED and NECP trajectories.",National EE programs; NECP integration; reporting.
Ordinance 16/2025 — transposition of EPBD Art. 17(15),Bans public incentives for new stand-alone fossil-fuel boilers (limited exceptions); aligns funding with decarbonization and MEPS.,Applies across AFM/PNRR/local programs; implementation guidance to authorities.
Integrated Building Stock Database (planned),"Will progressively integrate EPC data, future BRPs, program MIS (AFM/PNRR), district-heating connection data and RES/prosumer records, providing a digital backbone for NBRP implementation and MEPS/NECP monitoring.","To be implemented; data-sharing protocols with ANRE, AFM and municipalities."
NBRP framework (planned 2025-2026),"Romania will scale up the Building Renovation Passports (BRP) tested in pilot projects (including PNRR-supported initiatives and EU projects such as iBRoad2EPC/Renocally) into a national framework. The BRP scheme will integrate EPC data, staged renovation plans and MEPS compliance milestones and will support deep or staged renovation paths, primarily for residential buildings, with the option to extend to selected non-residential segments.",To be established through secondary legislation under Law 372/2005; MDLPA BRP guidelines; IT integration with the EPC registry and OSS.
