Building Group,2030 Primary (ktoe),2040 Primary (ktoe),2050 Primary (ktoe),2030 Final (ktoe),2040 Final (ktoe),2050 Final (ktoe)
Total buildings,8552.5,7084.2,5447.4,6849.0,5673.9,4367.9
of which: Residential,7459.5,6165.6,4661.4,5914.8,4888.8,3696.1
of which: Non-residential,1093.0,918.6,786.0,934.2,785.1,671.8
