,,2020,2030,2040,2050
Final energy per carrier,,,,,
Gas Electricity Heat Total Final Primary fossil (e.g. PEF from NTA8800),,2.690 1.830 970 120 1.590 1.450 1.300 1.150 230 310 380 450 4.520 3.590 2.650 1.720 5.220 4.210 3.200 2.190,,,
Final energy by type of use,,,,,
Space heating Space cooling Domestic hot water Ventilation,,2.510 1.900 1.290 690 110 140 170 200 700 530 370 200 220 170 130 80,,,
Primary fossil by type of use (e.g. PEF NTA8800),,,,,
Space heating Space cooling Domestic hot water Ventilation,,2.530 1.930 1.340 750 150 200 240 290 780 600 420 230 320 250 180 120,,,
