Table 1,2024,2030,2040,2050
Target % decrease LILEK compared to situation 2024,0%,50%,90%,100%
LILEK target compared to situation 2024 (in households),267.000,133.500,26.700,0
Number of LILEK households as % of total number of households (estimate),"3,2%","1,6%","0,3%",0%
