Indicative target renovations per decade (in 1000),2020-2030,2030-2040,2040-2050
Number of non-residential renovations planned per decade,177,175,106
Light (1 measure),6,21,30
Medium (2 or 3 measures),30,58,76
Deep (4+ measures),141,97,0
