Building element/syste,Measures
Water for,Renovate taps and water equipment to save water.
External walls,Concentrating expenditure. Additional thermal insulation when the external cladding is in need of thorough repair.
Exterior of the building,"Renew or add exterior crushing insulation, including piping"
