Indicators,Unit,Wood,"Oil, other fossil",Heat- generated by pump,Long- distance- heat,Electric ity,Total
Useful energy,ktoe/year,6,10,65,1185,140,1405
,GWh/year,70,90,780,13 790,1 610,16 340
,% GWh,0,1,5,84,10,100
E-number,ktoeE/year,3,10,0,595,165,770
,GWhe/year,35,90,0,6 895,1 932,8 952
Co2 emissions,million kg,0,30,0,1 140,50,1 220
