Indicator,Unit,— 1959,1960- 69,1970- 79,1980- 89,1990- 99,2000- 09,2010- 19,2020- 24,Total
Floor area,million m2,1,2,7,11,6,4,3,1,36
,%,3,6,19,31,17,11,8,3,100
Number of buildings,1000 pieces,3,3,14,29,16,10,7,3,85
Number of dwellings,1000 pieces,14,18,86,139,72,47,35,13,424
Permanent use,%,77,81,86,89,91,94,93,92,89
