Indicators,Unit,Total heating and cooling,Lighting,Consumer equipment,Total
Useful energy,ktoe/year,1 405,65,170,1 640
,GWh/year,16 340,730,1 955,19 025
,GWhe/year,8 952,875,2 345,12 172
Co2 emissions,million kg,1 220,25,65,1 310
