Indicators (energy classes),—1959,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-23,Total
A,0 %,0 %,0 %,0 %,0 %,0 %,0 %,4 %,0 %
B,0 %,1 %,1 %,1 %,1 %,1 %,3 %,74 %,7 %
C,7 %,8 %,13 %,13 %,14 %,11 %,32 %,19 %,14 %
D,36 %,34 %,43 %,45 %,57 %,57 %,45 %,3 %,41 %
E,37 %,41 %,32 %,30 %,23 %,27 %,17 %,0 %,28 %
F,12 %,12 %,9 %,9 %,3 %,4 %,3 %,0 %,8 %
G,6 %,3 %,2 %,1 %,2 %,1 %,1 %,0 %,2 %
Total,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %
Shares,15 %,14 %,20 %,11 %,10 %,9 %,13 %,8 %,100 %
