Energy consumption,ktoe,2020 1834,2025 1718,2030 1602,2035 1512,2040 1422,2045 1315,2050 1209
,%,,—6 %,—13 %,—18 %,,—28 %,—34 %
E-number (primary energy),ktoeE,1375,1210,1044,,770,670,571
,%,,—12 %,—24 %,—34 %,—44 %,—51 %,—59 %
Emissions of CO2,MKG,2483,1748,1013,680,348,174,0
,%,,—30 %,—59 %,,—86 %,—93 %,—100 %
