Indicators,Unit,Wood,"Oil, other fossil",Heat- generated by pump,Long- distance- heat,Electric ity,Total
Useful energy,ktoe/year,80,265,90,1050,200,1685
,GWh/year,910,3 070,1 070,12 190,2 350,19 590
,%,5,16,5,62,12,100
E-number,ktoeE/year,40,265,0,525,240,1070
,GWhe/year,455,3 070,0,6 095,2 820,12 440
Co2 emissions,million kg,0,940,0,,80,2 030
