Indicators,— 1959,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-23,Total
"Worst part of buildingstock, energy classes F, G",12 %,15 %,8 %,1 %,0 %,0 %,0 %,0 %,6 %
43 % of buildings,65 %,65 %,50 %,35 %,35 %,5 %,0 %,0 %,43 %
