Measure,2010,2015,2020,2024
Maintenance and EPBD advice,78 200,90 360,75 790,51 000
Remediation proposals,19 300,25 960,19 272,8 500
Exchanges of boilers,3 600,2 208,1 028,579
Burner swaps,8 000,5 355,2 850,2 150
Replacements of controls,5 900,7 117,4 530,4 110
Other refurbishments,6 700,5 712,4 277,3 549
Remediation planned,2 100,2 090,2 118,2 070
