Indicators,Unit,Total heating and cooling,Lighting,Consumer equipment,Total
Useful energy,ktoe/year,485,15,40,540
,GWh/year,5 650,145,435,6230
,GWhe/year,3 765,175,520,4460
Co2 emissions,million kg,310,5,15,330
