Indicators,Unit,Wood,"Oil, other fossil",Heat- generated by pump,Long- distanc eheat,Electric ity,Total
Useful energy for heating,ktoe/ye ar,960,60,560,185,815,2580
,GWh/y ear,11 140,720,6 540,2 130,9 500,30 030
,% GWh,37,2,22,7,32,100
,GWhe/ye ar,5 570,720,0,1 065,11 400,18 755
Co2 emissions,million kg,0,220,0,180,310,710
