Number of non-residential buildings by building category and age group Category 3. Office- buildings (13800),million2,"—1959 5,5","1960- 69 2,4","1970- 79 3,6","1980- 89 5,1","1990- 99 2,7","2000- 09 2,9","2010- 19 1,9","2020- 24 0,5",Total 25
Category 4. Commercial buildings (9200),million2,"2,5","1,7","3,0","4,2","2,6","3,9","2,5","0,8",21
Category 5. Residential and commercial,million2,"2,3","1,4","1,7","1,8","1,1","1,3","2,1","1,1",13
Category 6. Teaching racks and kindergartens (11800),million2,"6,4","3,5","2,9","2,8","1,7","2,0","2,3","0,7",22
Category 7. Sports halls (3800),million2,"0,2","0,2","0,4","0,8","0,6","0,7","0,6","1,8",5
Category 8. Hospitals (~500),million2,"1,0","0,4","0,6","0,3","0,1","0,1","0,9","0,4",4
Classes 3 to 8. Total (~57 000 pieces),million2,18,10,12,15,9,11,10,5,90
Shares,%,20,11,14,17,10,12,11,6,100
