Year 2017,District heating,Target population of the whole,Saving %,Saving
Foothouses and chain houses,2 652,100 %,2.5 %,66
Flat-floor buildings,13 785,100 %,2.5 %,345
Secondary residences,17,100 %,2.5 %,0
Service buildings,12 185,33 %,1.0 %,40
Industrial buildings,3 510,10 %,1.0 %,4
Agriculture and forestry,255,50 %,1.0 %,1
Total,,,,510
