Indicators,Unit,Woo d,"Oil, other fossil",Heat- generated by pump,Long- distance- heat,Electric ity,Total
Useful energy,ktoe/year,15,5,75,230,165,485
,GWh/yea r,160,80,860,2 650,1 900,5 650
,% GWh,3,1,15,47,34,100
E-number,ktoeE,5,5,0,115,195,325
,GWhe,80,80,0,1 325,2 280,3 765
Co2 emissions,million,0,20,0,230,60,310
