Indicator,Performance in 2050 (physical indicator or financial impact),Description of the indicator,Methodological description
Impact onGDP,+ EUR 670 million,Impact onGDP,Economic Impacts on GDP
Employment impact,+ 9 500 years,Increase in years of full- time employment as a result of investment,Economic impacts - Employment Effects
Energy savings incosts,"EUR 2 300 million/year (2 000 million households, 300 million services)",Energy end-use savings multiplied by energy prices,Energy Cost Savings
,EUR 158 million,Ambient PM2.5 pollution.,
Impact of air pollution on loss of working days,5 500 days of illness avoided EUR 1.5 million,Reduction in the number of working days lost due to reduced air pollution,Human Health due to Reduced Air Pollution
Cases of asthma avoided,200 fewer disability years (DALYs) EUR 35 million,Health impacts linked to improved indoor climate are assessed by looking at the reduction in asthma cases.,Open Burden of Asthma
Reduced air pollution,SO2 5.1 kt NoX 4.4 kt PM2.5 2.0 kt,Reduction of emissions by type of discharge,
