Energy consumption,ktoe,2020 4788,2025 4376,2030 3965,2035 3647,2040 3329,2045 3012,2050 2696
,%,,—9 %,—17 %,—24 %,—30 %,—37 %,—44 %
E-number (primary energy),ktoeE,3408,2968,2527,2210,1893,1643,1393
,%,,—13 %,—26 %,—35 %,—44 %,—52 %,—59 %
Emissions of CO2,MKG,3940,2713,1486,988,491,246,0
,%,,—31 %,—62 %,—75 %,—88 %,—94 %,—100 %
