Indicator,Unit,— 1959,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-24,Total
Floor area,million m2,18,16,23,12,11,10,14,9,113
,%,16,14,20,11,10,9,12,8,100
Number of buildings,1000 pieces,13,9,12,9,8,6,6,3,67
Number of dwellings,1000 pieces,230,230,330,170,150,130,200,130,1 570
Permanent use,%,84,87,87,,,91,90,87,88
,,,,,89,91,,,,
