Energy source,Energy savings,Emission reduction kt
Oil,12-18,BETWEEN 3.1 AND 4.6
Biofuel,BETWEEN 1.7 AND 4.5,0
Natural gas,"0,19-0,29","0,03-0,058"
Geothermal,BETWEEN 0.3 AND 2.5,"0,013-0.10"
Electricity,"1,3-10","0,049-0,37"
District heating,34 – 259,"3,8-28"
Total,50 – 293,"7,0-34"
