Indicator Energy classes,—1959,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-24,Total
A,0 %,0 %,0 %,0 %,0 %,1 %,14 %,30 %,3 %
B,6 %,8 %,9 %,8 %,7 %,22 %,65 %,67 %,16 %
C,10 %,13 %,16 %,16 %,16 %,26 %,21 %,2 %,15 %
D,32 %,25 %,28 %,46 %,50 %,43 %,0 %,0 %,33 %
E,40 %,38 %,39 %,29 %,26 %,8 %,0 %,0 %,27 %
F,8 %,10 %,5 %,1 %,0 %,0 %,0 %,0 %,4 %
G,4 %,5 %,3 %,0 %,0 %,0 %,0 %,0 %,2 %
Total,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %
Shares,23 %,7 %,13 %,18 %,12 %,14 %,10 %,3 %,100 %
