Indicators,Unit,Total heating and cooling,Lighting,Consumer equipment,Total
Useful energy,ktoe/year,1 685,270,115,2 070
,GWh/year,19 590,3 165,1 345,24 100
,GWhe/year,12 440,3 800,1 615,17 855
Co2 emissions,million kg,2 030,105,45,2 180
