Building type,Expected final energy 2023 (ktoe),Expected final energy 2030 (ktoe),Expected final energy 2040 (ktoe),Expected final energy 2050 (ktoe),Expected primary energy 2023 (ktoe),Expected primary energy 2030 (ktoe),Expected primary energy 2040 (ktoe),Expected primary energy 2050 (ktoe)
R Residential,8.170,7.576,6.644,5.217,7.836,6.550,5.112,3.734
NR Non-residential,5.609,4.594,3.599,2.248,6.955,5.696,3.977,2.257
T Total,13.779,12.170,10.243,7.465,14.791,12.246,9.089,5.991
