no of buildings,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL,%
Administrative,8.128,4.653,9.413,22.482,5.376,1.318,235,51.605,13.8%
Commercial,17.426,12.846,26.340,47.299,9.347,3.846,2.353,118.857,31.6%
Public residential,5.519,2.406,6.551,15.889,4.649,1.726,392,37.181,10.0%
Other,39.808,13.917,27.434,59.974,21.513,5.965,946,168.611,44.6%
TOTAL,70.644,33.601,69.254,144.443,40.369,12.711,2.173,371.022,
