Building type,Expected reduction 2030 kgCO2eq/(m².y),% reduction vs 2023 2030,Expected reduction 2040 kgCO2eq/(m².y),% reduction vs 2023 2040,Expected reduction 2050 kgCO2eq/(m².y),% reduction vs 2023 2050
Residence,3.85,41.3%,5.93,63.6%,9.32,100%
Non-Residential,10.82,49.5%,18.63,85.3%,21.84,100%
Total,5.46,44.7%,8.87,72.6%,12.22,100%
