Surface area (thousand),< 1940,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL
Multi-family,177.325,144.234,738.236,1.124.666,225.712,62.244,23.084,2.495.503
Single-family,253.071,127.480,211.514,516.513,113.301,31.495,6.504,1.259.881
TOTAL,430.396,271.714,949.750,1.641.180,339.014,93.740,29.588,3.755.385
