Dwellings by type,Not stated,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020
Main,382.430,1.577.764,1.472.219,6.058.624,7.460.535,1.303.898,281.146,629.213
Principal No,579.015,1.379.491,675.159,1.880.220,2.851.360,562.197,159.650,350.478
TOTAL,961.445,2.957.255,2.147.378,7.938.844,10.311.895,1.866.095,440.795,278.735
