Year,No of demolition visas,Area (m²)
2019,3.354,1.657.000
2018,3.346,1.908.000
2017,3.222,2.128.000
2016,2.771,1.983.000
2015,2.541,1.342.000
2014,2.379,1.514.000
2013,2.517,1.518.000
2012,2.287,1.990.000
2011,2.855,4.509.000
2010,3.116,2.180.000
2009,2.501,2.689.000
2008,3.750,4.407.000
2007,7.180,8.641.000
2006,8.113,9.022.000
2005,6.312,6.961.000
2004,4.722,5.711.000
2003,3.804,4.822.000
2002,3.204,3.900.000
2001,2.772,3.980.000
2000,2.443,3.643.000
TOTAL,73.189,74.505.000
