Area (m²),< 250 m²,250-500 m²,500-1000 m²,1000-2500 m²,> 2500 m²,TOTAL,%
Administrative,1.716.653,3.410.254,6.893.906,15.766.861,85.764.514,113.552.188,20.0%
Commercial,6.536.937,9.627.928,12.667.688,19.568.180,65.717.547,114.118.281,20.1%
Public residential,858.189,2.439.971,5.825.458,12.517.439,70.068.481,91.709.537,16.2%
Other,5.063.695,6.983.931,13.198.747,32.155.392,190.943.542,248.345.306,43.7%
TOTAL,14.175.473,22.462.084,38.585.798,80.007.872,412.494.085,567.725.312,
