Dwellings by type,TOTAL 2020,TOTAL 2023
Main,18.536.616 (69.6%),19.165.829 (71.2%)
Principal No,8.087.092 (30.4%),7.736.614 (28.8%)
TOTAL,26.623.708,26.902.443
