Section,Depth,Total annual renovations,Equivalent deep renovations
RESIDENTIAL (DWELLINGS),Light,323.267,80.817
RESIDENTIAL (DWELLINGS),Average,185.201,92.601
RESIDENTIAL (DWELLINGS),Deep,31.532,31.532
RESIDENTIAL (DWELLINGS),TOTAL,540.000,204.949
TERTIARY (BUILDINGS),Light,—,—
TERTIARY (BUILDINGS),Average,5.686,2.843
TERTIARY (BUILDINGS),Deep,—,—
TERTIARY (BUILDINGS),TOTAL,5.686,2.843
