Worst-performing buildings,Number of buildings Year X-2 (2023),Number of buildings 2020,Area (m²) Year X-2 (2023),Area (m²) 2020
Residential,3.817.266,3.799.163,1.114.749.222,1.105.695.290
Residential No,240.104,238.653,145.852.941,143.496.823
Total,4.057.370,4.037.816,1.260.602.163,1.249.192.113
