End-use,Final energy 2030 (ktoe),Final energy 2040 (ktoe),Final energy 2050 (ktoe),Primary energy 2030 (ktoe),Primary energy 2040 (ktoe),Primary energy 2050 (ktoe)
Heating,5.038,4.627,3.357,4.356,3.560,2.403
Refrigeration,136,195,183,118,150,131
ACS (Sanitary Hot Water),2.402,1.823,1.677,2.076,1.402,1.200
Ventilation,—,—,—,—,—,—
Lighting,—,—,—,—,—,—
Other technical building systems,—,—,—,—,—,—
Total,7.576,6.644,5.217,6.550,5.112,3.734
