Class of Energy Performance Certificates,Number of residential/non-residential buildings or units in Year X-2 (2023),Residential/non-residential area in Year X-2 (2023) m²
A+,—,—
A0,—,—
A,42.537,21.492.311
B,50.988,34.278.678
C,91.445,71.438.911
D,186.697,139.480.652
E,875.355,742.222.559
F,209.063,112.101.203
G,333.919,203.799.167
No certificate of valid energy efficiency,105.093,413.571.368
Total,1.790.004,1.324.813.486
